,Water_Withdrawal
1901,671_306_983_873/1_000_000
1902,685_160_582_511/1_000_000
1903,655_134_883_737/1_000_000
1904,699_576_268_956/1_000_000
1905,700_946_862_061/1_000_000
1906,696_602_977_599/1_000_000
1907,731_144_772_386/1_000_000
1908,719_471_701_227/1_000_000
1909,728_901_391_069/1_000_000
1910,721_299_647_144/1_000_000
1911,745_680_720_540/1_000_000
1912,767_006_346_937/1_000_000
1913,815_330_197_706/1_000_000
1914,786_612_865_433/1_000_000
1915,795_361_689_794/1_000_000
1916,787_231_952_020/1_000_000
1917,775_639_802_130/1_000_000
1918,866_090_893_167/1_000_000
1919,836_046_221_526/1_000_000
1920,884_507_213_764/1_000_000
1921,843_070_029_162/1_000_000
1922,871_840_024_725/1_000_000
1923,871_314_812_056/1_000_000
1924,889_083_480_856/1_000_000
1925,924_787_108_685/1_000_000
1926,897_784_782_426/1_000_000
1927,942_226_756_274/1_000_000
1928,948_217_636_750/1_000_000
1929,971_752_096_730/1_000_000
1930,953_917_032_232/1_000_000
1931,933_752_708_438/1_000_000
1932,975_080_407_692/1_000_000
1933,947_880_055_696/1_000_000
1934,1_001_227_847_427/1_000_000
1935,1_017_967_168_166/1_000_000
1936,1_030_140_139_854/1_000_000
1937,1_037_521_711_280/1_000_000
1938,1_068_636_917_459/1_000_000
1939,1_101_694_892_511/1_000_000
1940,1_110_057_100_858/1_000_000
1941,1_127_967_315_874/1_000_000
1942,1_118_901_725_058/1_000_000
1943,1_138_661_531_039/1_000_000
1944,1_142_668_949_683/1_000_000
1945,1_141_481_848_418/1_000_000
1946,1_177_734_201_509/1_000_000
1947,1_178_084_072_050/1_000_000
1948,1_183_911_222_473/1_000_000
1949,1_193_998_559_818/1_000_000
1950,1_226_581_492_652/1_000_000
1951,1_328_106_361_712/1_000_000
1952,1_379_031_417_592/1_000_000
1953,1_373_804_788_386/1_000_000
1954,1_372_677_661_659/1_000_000
1955,1_424_773_252_538/1_000_000
1956,1_457_353_328_546/1_000_000
1957,1_567_294_694_315/1_000_000
1958,1_576_923_377_182/1_000_000
1959,1_638_316_188_497/1_000_000
1960,1_751_856_694_173/1_000_000
1961,1_765_317_094_855/1_000_000
1962,1_836_014_016_143/1_000_000
1963,1_919_424_571_799/1_000_000
1964,1_946_670_963_025/1_000_000
1965,2_094_529_301_420/1_000_000
1966,2_155_354_004_443/1_000_000
1967,2_133_103_824_801/1_000_000
1968,2_349_150_276_457/1_000_000
1969,2_358_734_737_509/1_000_000
1970,2_362_057_426_681/1_000_000
1971,2_435_749_010_145/1_000_000
1972,2_547_232_873_087/1_000_000
1973,2_606_315_331_685/1_000_000
1974,2_724_754_347_202/1_000_000
1975,2_638_242_268_253/1_000_000
1976,2_739_688_119_549/1_000_000
1977,2_790_536_167_979/1_000_000
1978,2_991_132_085_753/1_000_000
1979,3_110_120_552_704/1_000_000
1980,3_073_437_838_693/1_000_000
1981,3_053_974_246_703/1_000_000
1982,3_067_192_207_543/1_000_000
1983,3_033_538_895_562/1_000_000
1984,3_115_820_776_136/1_000_000
1985,3_128_754_701_301/1_000_000
1986,3_233_087_696_664/1_000_000
1987,3_271_390_124_759/1_000_000
1988,3_338_411_792_004/1_000_000
1989,3_369_048_487_620/1_000_000
1990,3_321_357_298_152/1_000_000
1991,3_417_687_603_175/1_000_000
1992,3_319_438_058_851/1_000_000
1993,3_358_249_157_599/1_000_000
1994,3_464_070_203_270/1_000_000
1995,3_420_212_914_562/1_000_000
1996,3_338_874_861_936/1_000_000
1997,3_441_859_120_538/1_000_000
1998,3_495_761_711_662/1_000_000
1999,3_651_048_141_907/1_000_000
2000,3_785_948_890_323/1_000_000
2001,3_861_642_393_124/1_000_000
2002,3_806_857_575_151/1_000_000
2003,3_723_071_436_326/1_000_000
2004,3_852_973_536_488/1_000_000
2005,3_827_437_377_208/1_000_000
2006,3_992_199_319_449/1_000_000
2007,4_003_664_798_444/1_000_000
2008,3_948_326_264_862/1_000_000
2009,4_072_946_984_929/1_000_000
2010,3_871_886_184_482/1_000_000
2014,3_985_681_600_000/1_000_000
